and [ənd]	и
French [frenʧ] а	французский
general ['ʤenərəl] а	общий; n генерал
grammar ['græmə] n	грамматика
however [haʊ'evə] adv	однако
king [kɪŋ] n	король
land [lænd] n	земля
landowner ['lænd,əʊnə] n	помещик, землевладелец
language [læŋgwɪʤ] n	язык
Latin ['lætɪn] n	латынь; а латинский
law [lɔ:] n	закон, право
learned ['lɜ:nɪd] а	ученый
mass [mæs] n	масса; а массовый
noble ['nəʊbl] а	благородный
the nobles n	знать, дворяне
Norman ['nɔ:mən] n	норманн; а норманнский
opposite ['ɒpəzɪt] adv, prep	напротив, против
own [əʊn] v	владеть
peasant ['peznt] n	крестьянин
poetry ['pəʊɪtrɪ] n	поэзия
poor [pʊə] а	бедный
quite [kwaɪt] adv	вполне, совсем, совершенно
remain [rɪ'meɪn] v	оставаться
rich [rɪʧ] а	богатый
Roman ['rəʊmərɪ] а	римский
same [seɪm] а	тот же, одинаковый
speak [spi:k] Past Ind. spoke [spəʊk] v	говорить
teach [ti:ʧ] Past Ind. taught[tɔ:t] v	учить, преподавать
teacher ['ti:ʧə] n	учитель
translation [træns'leɪʃn] n	перевод
understand [,ʌndə'stænd] Past Ind. understood [,ʌndə'stʊd] v	понимать
use [ju:s] n	употребление, использование, польза;
use [ju:z] v	использовать, употреблять
year [jɪə или jз:] n	год
yesterday ['jestədɪ]	вчера
last year [jɪə uлu jз:]	в прошлом году
last month [mʌnθ]	в прошлом месяце
ago [ə'ɡəʊ]	тому назад
again [ə'ɡem], [ə'ɡən] adv	снова; опять
apply [ə'plaɪ]	v относиться, применять(ся); обращаться, прилагать
atmosphere ['ætməsfɪə]	n атмосфера
barometer [bə'rɒmɪtə]	n барометр
blow [bləʊ], blew [blu:]	v дуть
blow-pipe [bləʊ,pаɪp]	n паяльная трубка
cubic ['kju:bɪk]	а кубический
determine [dɪ'tɜ:mɪn]	n определять
discuss [dɪs'kʌs]	v обсуждать, дискутировать
earth [ɜ:θ]	n земля
exact [ɪɡ'zækt]	а точный
example [ɪɡ'zɑ:mpl]	n пример
figure ['fɪɡə]	n число, цифра; фигура; личность
fill [fɪl]	v наполнять(ся)
